Date,Open,High,Low,Close
04 February 2014,6465.66,6478.16,6416.72,6449.27
05 February 2014,6449.27,6483.73,6423.79,6457.89
06 February 2014,6457.89,6566.01,6457.89,6558.28
07 February 2014,6558.28,6596.28,6540.81,6571.68
10 February 2014,6571.68,6597,6565.3,6591.55
11 February 2014,6591.55,6672.66,6591.55,6672.66
12 February 2014,6672.66,6708.17,6669.06,6675.03
13 February 2014,6675.03,6675.24,6608.09,6659.42
14 February 2014,6659.42,6672.21,6646.47,6663.62
17 February 2014,6663.62,6745.63,6661.47,6736
18 February 2014,6736,6802.89,6716.64,6796.43
19 February 2014,6796.43,6810.48,6759.86,6796.71
20 February 2014,6796.71,6812.99,6732.03,6812.99
21 February 2014,6812.99,6859.91,6812.99,6838.06
24 February 2014,6838.06,6865.86,6797.83,6865.86
25 February 2014,6862.73,6866.35,6790.93,6830.5
26 February 2014,6830.5,6834.09,6785.28,6799.15
27 February 2014,6799.15,6819.24,6733.54,6810.27
28 February 2014,6810.27,6833.82,6785.54,6809.7
03 March 2014,6809.7,6809.7,6671.89,6708.35
04 March 2014,6708.35,6827.22,6708.35,6823.77
05 March 2014,6823.77,6824.16,6771.5,6775.42
06 March 2014,6775.42,6806.62,6770.95,6788.49
07 March 2014,6788.49,6800.66,6706.38,6712.67
10 March 2014,6712.67,6757,6671.62,6689.45
11 March 2014,6689.45,6718.3,6660.59,6685.52
12 March 2014,6685.52,6685.52,6598.36,6620.9
13 March 2014,6620.9,6631.38,6552.46,6553.78
14 March 2014,6553.78,6553.78,6500.37,6527.89
17 March 2014,6527.89,6592.37,6527.87,6568.35
18 March 2014,6568.35,6628.2,6534.86,6605.28
19 March 2014,6605.28,6609.46,6566.85,6573.13
20 March 2014,6573.13,6573.13,6492.62,6542.44
21 March 2014,6542.44,6572.09,6537.89,6557.17
24 March 2014,6557.17,6568.96,6506.42,6520.39
25 March 2014,6520.39,6604.89,6520.39,6604.89
26 March 2014,6604.89,6643.58,6601.78,6605.3
27 March 2014,6605.3,6605.3,6561.39,6588.32
28 March 2014,6588.32,6631.48,6585.73,6615.58
31 March 2014,6615.58,6658.4,6583.09,6598.37
01 April 2014,6598.37,6660.27,6598.37,6652.61
02 April 2014,6652.61,6672.73,6639.63,6659.04
03 April 2014,6659.04,6680.78,6638.52,6649.14
04 April 2014,6649.14,6706.34,6649.14,6695.55
07 April 2014,6695.55,6695.55,6614.73,6622.84
08 April 2014,6622.84,6625.19,6549.75,6590.69
09 April 2014,6590.69,6654.05,6590.41,6635.61
10 April 2014,6635.61,6688.28,6620.39,6641.96
11 April 2014,6641.97,6641.97,6538.75,6561.7
14 April 2014,6561.7,6583.76,6507.08,6583.76
15 April 2014,6583.76,6594.24,6534.2,6541.61
16 April 2014,6541.61,6596.99,6541.61,6584.17
17 April 2014,6584.17,6627.25,6559.35,6625.25
22 April 2014,6625.25,6706.19,6625.25,6681.76
23 April 2014,6681.76,6694.82,6661.42,6674.74
24 April 2014,6674.74,6724.58,6667.65,6703
25 April 2014,6703,6704.37,6657.3,6685.69
28 April 2014,6685.69,6720.33,6682.9,6700.16
29 April 2014,6700.16,6769.91,6700.1,6769.91
30 April 2014,6769.91,6794.88,6748.76,6780.03
01 May 2014,6780.03,6811.64,6773.69,6808.87
02 May 2014,6808.87,6838.17,6798.61,6822.42
06 May 2014,6822.42,6828.62,6785.32,6798.56
07 May 2014,6798.56,6799.34,6766.84,6796.44
08 May 2014,6796.44,6840.37,6796.44,6839.25
09 May 2014,6839.25,6839.42,6805.39,6814.57
12 May 2014,6814.57,6851.75,6814.57,6851.75
13 May 2014,6851.75,6877.39,6845.95,6873.08
14 May 2014,6873.08,6880.07,6854.02,6878.49
15 May 2014,6878.49,6894.88,6821.66,6840.89
16 May 2014,6840.89,6855.94,6813.5,6855.81
19 May 2014,6855.81,6862.2,6804.31,6844.55
20 May 2014,6844.55,6848.36,6792.51,6802
21 May 2014,6802,6821.04,6782.8,6821.04
22 May 2014,6821.04,6846.57,6810.19,6820.56
23 May 2014,6820.56,6825.53,6793.47,6815.75
27 May 2014,6815.75,6857.1,6815.37,6844.94
28 May 2014,6844.94,6855.83,6833.61,6851.22
29 May 2014,6851.22,6882.14,6848.06,6871.29
30 May 2014,6871.29,6874.33,6831.99,6844.51
02 June 2014,6844.51,6874.38,6844.51,6864.1
03 June 2014,6864.1,6865.38,6817.96,6836.29
04 June 2014,6836.3,6840.6,6800.1,6818.63
05 June 2014,6818.63,6847,6795.27,6813.49
06 June 2014,6813.49,6862.91,6813.49,6858.21
09 June 2014,6858.21,6878.96,6857.7,6875
10 June 2014,6875,6875.24,6835.8,6873.55
11 June 2014,6873.55,6873.55,6825.24,6838.87
12 June 2014,6838.87,6853.18,6827.03,6843.11
13 June 2014,6843.11,6843.11,6758.15,6777.85
16 June 2014,6777.85,6779.4,6748.04,6754.64
17 June 2014,6754.64,6774.87,6736.11,6766.77
18 June 2014,6766.77,6799.59,6766.77,6778.56
19 June 2014,6778.56,6837.57,6778.56,6808.11
20 June 2014,6808.11,6840.62,6791.2,6825.2
23 June 2014,6825.2,6829.76,6785.83,6800.56
24 June 2014,6800.56,6824.45,6776.8,6787.07
25 June 2014,6787.07,6787.07,6716.35,6733.62
26 June 2014,6733.62,6753.25,6701.59,6735.12
27 June 2014,6735.12,6767.63,6735.12,6757.77
30 June 2014,6757.77,6777.11,6730.45,6743.94
01 July 2014,6743.94,6805.9,6743.94,6802.92
02 July 2014,6802.92,6829.49,6796.61,6816.37
03 July 2014,6816.37,6866.56,6815.45,6865.21
04 July 2014,6865.21,6875.31,6856.35,6866.05
07 July 2014,6866.05,6866.37,6817.6,6823.51
08 July 2014,6823.51,6831.02,6738.45,6738.45
09 July 2014,6738.45,6740.82,6692.77,6718.04
10 July 2014,6718.04,6724.8,6643.62,6672.37
11 July 2014,6672.37,6696.1,6663.67,6690.17
14 July 2014,6690.17,6760.73,6690.17,6746.14
15 July 2014,6746.14,6764,6709.15,6710.45
16 July 2014,6710.45,6792.55,6710.45,6784.67
17 July 2014,6784.67,6784.67,6727.71,6738.32
18 July 2014,6738.32,6749.89,6690.9,6749.45
21 July 2014,6749.45,6753.42,6715.78,6728.44
22 July 2014,6728.44,6801.84,6728.44,6795.34
23 July 2014,6795.34,6822.65,6773.11,6798.15
24 July 2014,6798.15,6821.46,6767.33,6821.46
25 July 2014,6821.46,6830.77,6780.65,6791.55
28 July 2014,6791.55,6809.61,6761.77,6788.07
29 July 2014,6788.07,6833.67,6784.04,6807.75
30 July 2014,6807.75,6815.29,6758.24,6773.44
31 July 2014,6773.44,6797.09,6716.29,6730.11
01 August 2014,6730.11,6730.11,6624.72,6679.18
